[INFO] [1489093972.542382]: [RosColorDepth] Initialized.
[INFO] [1489094348.905535]: FS = 0.066
[INFO] [1489094355.569136]: FS = 0.067
[INFO] [1489094362.230520]: FS = 0.066
[INFO] [1489094368.899218]: FS = 0.066
[INFO] [1489094375.564907]: FS = 0.066
[INFO] [1489094382.232309]: FS = 0.066
[INFO] [1489094388.900157]: FS = 0.066
[INFO] [1489094395.557148]: FS = 0.065
[INFO] [1489094402.226931]: FS = 0.065
[INFO] [1489094408.892373]: FS = 0.066
[INFO] [1489094415.559807]: FS = 0.067
[INFO] [1489094422.220113]: FS = 0.068
[INFO] [1489094428.885806]: FS = 0.065
[INFO] [1489094435.552102]: FS = 0.065
[INFO] [1489094442.220450]: FS = 0.065
[INFO] [1489094448.883946]: FS = 0.065
[INFO] [1489094455.552442]: FS = 0.065
[INFO] [1489094462.216888]: FS = 0.065
[INFO] [1489094468.879399]: FS = 0.065
[INFO] [1489094475.544891]: FS = 0.065
[INFO] [1489094482.176659]: FS = 0.065
[INFO] [1489094488.840581]: FS = 0.065
[INFO] [1489094495.505007]: FS = 0.065
[INFO] [1489094502.172479]: FS = 0.065
[INFO] [1489094508.839973]: FS = 0.065
[INFO] [1489094515.502717]: FS = 0.064
[INFO] [1489094522.169050]: FS = 0.064
[INFO] [1489094528.833545]: FS = 0.065
[INFO] [1489094535.497073]: FS = 0.065
[INFO] [1489094542.168224]: FS = 0.065
[INFO] [1489094548.832103]: FS = 0.065
[INFO] [1489094555.495813]: FS = 0.065
[INFO] [1489094562.159412]: FS = 0.065
[INFO] [1489094568.796379]: FS = 0.064
[INFO] [1489094575.458476]: FS = 0.066
[INFO] [1489094582.126031]: FS = 0.066
[INFO] [1489094588.794665]: FS = 0.065
[INFO] [1489094595.453567]: FS = 0.065
[INFO] [1489094602.123784]: FS = 0.065
[INFO] [1489094608.824170]: FS = 0.065
[INFO] [1489094615.485458]: FS = 0.066
[INFO] [1489094622.150822]: FS = 0.066
[INFO] [1489094628.817870]: FS = 0.066
[INFO] [1489094635.483469]: FS = 0.066
[INFO] [1489094642.146680]: FS = 0.066
[INFO] [1489094648.785153]: FS = 0.066
[INFO] [1489094655.443776]: FS = 0.066
[INFO] [1489094662.115267]: FS = 0.066
[INFO] [1489094668.778002]: FS = 0.066
[INFO] [1489094675.447777]: FS = 0.066
[INFO] [1489094682.076744]: FS = 0.066
[INFO] [1489094688.708918]: FS = 0.066
[INFO] [1489094695.378510]: FS = 0.066
[INFO] [1489094702.040928]: FS = 0.066
[INFO] [1489094708.705552]: FS = 0.066
[INFO] [1489094715.368005]: FS = 0.066
[INFO] [1489094722.030836]: FS = 0.066
[INFO] [1489094728.702095]: FS = 0.066
[INFO] [1489094735.333474]: FS = 0.066
[INFO] [1489094741.995983]: FS = 0.066
[INFO] [1489094748.665254]: FS = 0.066
[INFO] [1489094755.329336]: FS = 0.066
[INFO] [1489094761.991940]: FS = 0.066
[INFO] [1489094768.661379]: FS = 0.066
[INFO] [1489094775.321537]: FS = 0.066
[INFO] [1489094781.992733]: FS = 0.066
[INFO] [1489094788.657980]: FS = 0.066
[INFO] [1489094795.286939]: FS = 0.065
[INFO] [1489094801.954964]: FS = 0.066
[INFO] [1489094808.620565]: FS = 0.066
[INFO] [1489094815.284707]: FS = 0.066
[INFO] [1489094821.949784]: FS = 0.066
[INFO] [1489094828.616167]: FS = 0.066
[INFO] [1489094835.279153]: FS = 0.066
[INFO] [1489094841.943178]: FS = 0.066
[INFO] [1489094848.617668]: FS = 0.066
[INFO] [1489094855.278122]: FS = 0.066
[INFO] [1489094861.944900]: FS = 0.066
[INFO] [1489094868.575007]: FS = 0.066
[INFO] [1489094875.238231]: FS = 0.066
[INFO] [1489094881.907670]: FS = 0.066
[INFO] [1489094888.568314]: FS = 0.066
[INFO] [1489094895.235198]: FS = 0.066
[INFO] [1489094901.897658]: FS = 0.065
[INFO] [1489094908.572631]: FS = 0.066
[INFO] [1489094915.229341]: FS = 0.066
[INFO] [1489094921.897255]: FS = 0.066
[INFO] [1489094928.556462]: FS = 0.065
[INFO] [1489094935.228795]: FS = 0.065
[INFO] [1489094941.894253]: FS = 0.065
[INFO] [1489094948.559242]: FS = 0.065
[INFO] [1489094955.223760]: FS = 0.065
[INFO] [1489094961.850571]: FS = 0.065
[INFO] [1489094968.521963]: FS = 0.065
[INFO] [1489094975.187214]: FS = 0.065
[INFO] [1489094981.849614]: FS = 0.065
[INFO] [1489094988.519017]: FS = 0.065
[INFO] [1489094995.188791]: FS = 0.065
[INFO] [1489095001.847484]: FS = 0.065
[INFO] [1489095008.510738]: FS = 0.065
[INFO] [1489095015.247482]: FS = 0.064
[INFO] [1489095021.911911]: FS = 0.065
[INFO] [1489095028.579264]: FS = 0.065
[INFO] [1489095035.238731]: FS = 0.065
[INFO] [1489095041.908275]: FS = 0.065
[INFO] [1489095048.569967]: FS = 0.064
[INFO] [1489095055.238173]: FS = 0.066
[INFO] [1489095061.868319]: FS = 0.066
[INFO] [1489095068.532655]: FS = 0.065
[INFO] [1489095075.165446]: FS = 0.065
[INFO] [1489095081.836465]: FS = 0.065
[INFO] [1489095088.502035]: FS = 0.066
[INFO] [1489095095.166001]: FS = 0.065
[INFO] [1489095101.831967]: FS = 0.065
[INFO] [1489095108.495677]: FS = 0.065
