[rosmaster.master][INFO] 2017-03-09 10:24:52,416: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2017-03-09 10:24:52,421: +SERVICE [/camera/color_rectify_color/get_loggers] /camera/color_rectify_color http://10.42.0.1:42021/
[rosmaster.master][INFO] 2017-03-09 10:24:52,430: +PUB [/rosout] /camera/ir_rectify_ir http://10.42.0.1:35974/
[rosmaster.master][INFO] 2017-03-09 10:24:52,434: +PUB [/rosout] /camera/camera_nodelet_manager http://10.42.0.1:45399/
[rosmaster.master][INFO] 2017-03-09 10:24:52,437: +SERVICE [/camera/color_rectify_mono/set_logger_level] /camera/color_rectify_mono http://10.42.0.1:40083/
[rosmaster.master][INFO] 2017-03-09 10:24:52,447: +SERVICE [/camera/color_rectify_color/set_logger_level] /camera/color_rectify_color http://10.42.0.1:42021/
[rosmaster.master][INFO] 2017-03-09 10:24:52,450: +PUB [/diagnostics] /mavros http://10.42.0.1:37656/
[rosmaster.master][INFO] 2017-03-09 10:24:52,454: +PUB [/rosout] /camera/depth_rectify_depth http://10.42.0.1:43529/
[rosmaster.master][INFO] 2017-03-09 10:24:52,457: +SERVICE [/camera/ir_rectify_ir/get_loggers] /camera/ir_rectify_ir http://10.42.0.1:35974/
[rosmaster.master][INFO] 2017-03-09 10:24:52,465: +SERVICE [/camera/camera_nodelet_manager/get_loggers] /camera/camera_nodelet_manager http://10.42.0.1:45399/
[rosmaster.master][INFO] 2017-03-09 10:24:52,469: +PUB [/rosout] /camera/depth_metric_rect http://10.42.0.1:43933/
[rosmaster.master][INFO] 2017-03-09 10:24:52,480: +SERVICE [/camera/depth_rectify_depth/get_loggers] /camera/depth_rectify_depth http://10.42.0.1:43529/
[rosmaster.master][INFO] 2017-03-09 10:24:52,489: +SERVICE [/camera/ir_rectify_ir/set_logger_level] /camera/ir_rectify_ir http://10.42.0.1:35974/
[rosmaster.master][INFO] 2017-03-09 10:24:52,492: +PUB [/rosout] /camera/depth_metric http://10.42.0.1:32900/
[rosmaster.master][INFO] 2017-03-09 10:24:52,494: +SERVICE [/camera/camera_nodelet_manager/set_logger_level] /camera/camera_nodelet_manager http://10.42.0.1:45399/
[rosmaster.master][INFO] 2017-03-09 10:24:52,499: +SERVICE [/camera/depth_metric_rect/get_loggers] /camera/depth_metric_rect http://10.42.0.1:43933/
[rosmaster.master][INFO] 2017-03-09 10:24:52,507: publisherUpdate[/rosout] -> http://10.42.0.1:43941/
[rosmaster.master][INFO] 2017-03-09 10:24:52,510: +SERVICE [/camera/depth_rectify_depth/set_logger_level] /camera/depth_rectify_depth http://10.42.0.1:43529/
[rosmaster.master][INFO] 2017-03-09 10:24:52,513: +PUB [/rosout] /camera/depth_points http://10.42.0.1:39817/
[rosmaster.master][INFO] 2017-03-09 10:24:52,524: publisherUpdate[/rosout] -> http://10.42.0.1:43941/
[rosmaster.master][INFO] 2017-03-09 10:24:52,527: publisherUpdate[/rosout] -> http://10.42.0.1:43941/
[rosmaster.master][INFO] 2017-03-09 10:24:52,532: +SERVICE [/camera/depth_metric/get_loggers] /camera/depth_metric http://10.42.0.1:32900/
[rosmaster.master][INFO] 2017-03-09 10:24:52,534: publisherUpdate[/rosout] -> http://10.42.0.1:43941/
[rosmaster.master][INFO] 2017-03-09 10:24:52,538: publisherUpdate[/rosout] -> http://10.42.0.1:43941/
[rosmaster.master][INFO] 2017-03-09 10:24:52,541: publisherUpdate[/rosout] -> http://10.42.0.1:43941/
[rosmaster.master][INFO] 2017-03-09 10:24:52,556: +SERVICE [/camera/depth_metric_rect/set_logger_level] /camera/depth_metric_rect http://10.42.0.1:43933/
[rosmaster.master][INFO] 2017-03-09 10:24:52,559: +SERVICE [/camera/depth_points/get_loggers] /camera/depth_points http://10.42.0.1:39817/
[rosmaster.master][INFO] 2017-03-09 10:24:52,566: +PUB [/rosout] /camera/register_depth_color http://10.42.0.1:35005/
[rosmaster.master][INFO] 2017-03-09 10:24:52,577: +SERVICE [/camera/depth_metric/set_logger_level] /camera/depth_metric http://10.42.0.1:32900/
[rosmaster.master][INFO] 2017-03-09 10:24:52,590: +PUB [/rosout] /camera/points_xyzrgb_sw_registered http://10.42.0.1:41726/
[rosmaster.master][INFO] 2017-03-09 10:24:52,596: +SERVICE [/camera/depth_points/set_logger_level] /camera/depth_points http://10.42.0.1:39817/
[rosmaster.master][INFO] 2017-03-09 10:24:52,601: +SERVICE [/camera/register_depth_color/get_loggers] /camera/register_depth_color http://10.42.0.1:35005/
[rosmaster.master][INFO] 2017-03-09 10:24:52,615: publisherUpdate[/rosout] -> http://10.42.0.1:43941/
[rosmaster.master][INFO] 2017-03-09 10:24:52,618: publisherUpdate[/rosout] -> http://10.42.0.1:43941/
[rosmaster.master][INFO] 2017-03-09 10:24:52,623: +PUB [/rosout] /camera/depth_registered_sw_metric_rect http://10.42.0.1:36066/
[rosmaster.master][INFO] 2017-03-09 10:24:52,630: +SERVICE [/camera/points_xyzrgb_sw_registered/get_loggers] /camera/points_xyzrgb_sw_registered http://10.42.0.1:41726/
[rosmaster.master][INFO] 2017-03-09 10:24:52,630: publisherUpdate[/rosout] -> http://10.42.0.1:43941/
[rosmaster.master][INFO] 2017-03-09 10:24:52,646: +PARAM [/camera/depth_rectify_depth] by /camera/depth_rectify_depth
[rosmaster.master][INFO] 2017-03-09 10:24:52,648: +SERVICE [/camera/register_depth_color/set_logger_level] /camera/register_depth_color http://10.42.0.1:35005/
[rosmaster.master][INFO] 2017-03-09 10:24:52,658: +PUB [/rosout] /camera/disparity_depth http://10.42.0.1:34250/
[rosmaster.master][INFO] 2017-03-09 10:24:52,661: +SERVICE [/camera/camera_nodelet_manager/load_nodelet] /camera/camera_nodelet_manager http://10.42.0.1:45399/
[rosmaster.master][INFO] 2017-03-09 10:24:52,671: +SERVICE [/camera/depth_registered_sw_metric_rect/get_loggers] /camera/depth_registered_sw_metric_rect http://10.42.0.1:36066/
[rosmaster.master][INFO] 2017-03-09 10:24:52,678: +SERVICE [/camera/points_xyzrgb_sw_registered/set_logger_level] /camera/points_xyzrgb_sw_registered http://10.42.0.1:41726/
[rosmaster.master][INFO] 2017-03-09 10:24:52,698: +PUB [/rosout] /camera/disparity_registered_sw http://10.42.0.1:38328/
[rosmaster.master][INFO] 2017-03-09 10:24:52,702: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://10.42.0.1:34250/
[rosmaster.master][INFO] 2017-03-09 10:24:52,705: +SERVICE [/camera/camera_nodelet_manager/unload_nodelet] /camera/camera_nodelet_manager http://10.42.0.1:45399/
[rosmaster.master][INFO] 2017-03-09 10:24:52,726: publisherUpdate[/rosout] -> http://10.42.0.1:43941/
[rosmaster.master][INFO] 2017-03-09 10:24:52,729: publisherUpdate[/rosout] -> http://10.42.0.1:43941/
[rosmaster.master][INFO] 2017-03-09 10:24:52,770: +SERVICE [/camera/depth_registered_sw_metric_rect/set_logger_level] /camera/depth_registered_sw_metric_rect http://10.42.0.1:36066/
[rosmaster.master][INFO] 2017-03-09 10:24:52,796: +SERVICE [/camera/disparity_registered_sw/get_loggers] /camera/disparity_registered_sw http://10.42.0.1:38328/
[rosmaster.master][INFO] 2017-03-09 10:24:52,803: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://10.42.0.1:34250/
[rosmaster.master][INFO] 2017-03-09 10:24:52,823: +SERVICE [/camera/camera_nodelet_manager/list] /camera/camera_nodelet_manager http://10.42.0.1:45399/
[rosmaster.master][INFO] 2017-03-09 10:24:52,886: +SERVICE [/camera/disparity_registered_sw/set_logger_level] /camera/disparity_registered_sw http://10.42.0.1:38328/
[rosmaster.master][INFO] 2017-03-09 10:24:52,915: +PARAM [/camera/points_xyzrgb_sw_registered] by /camera/points_xyzrgb_sw_registered
[rosmaster.master][INFO] 2017-03-09 10:24:52,953: +PUB [/rosout] /image_view http://10.42.0.1:44837/
[rosmaster.master][INFO] 2017-03-09 10:24:52,954: publisherUpdate[/rosout] -> http://10.42.0.1:43941/
[rosmaster.master][INFO] 2017-03-09 10:24:52,986: +SUB [/tf] /mavros http://10.42.0.1:37656/
[rosmaster.master][INFO] 2017-03-09 10:24:52,994: +PARAM [/camera/disparity_depth] by /camera/disparity_depth
[rosmaster.master][INFO] 2017-03-09 10:24:53,012: +PARAM [/camera/disparity_registered_sw] by /camera/disparity_registered_sw
[rosmaster.master][INFO] 2017-03-09 10:24:53,019: +SERVICE [/image_view/get_loggers] /image_view http://10.42.0.1:44837/
[rosmaster.master][INFO] 2017-03-09 10:24:53,066: +SERVICE [/image_view/set_logger_level] /image_view http://10.42.0.1:44837/
[rosmaster.master][INFO] 2017-03-09 10:24:53,125: +SUB [/tf_static] /mavros http://10.42.0.1:37656/
[rosmaster.master][INFO] 2017-03-09 10:24:53,138: +PUB [/tf] /mavros http://10.42.0.1:37656/
[rosmaster.master][INFO] 2017-03-09 10:24:53,165: publisherUpdate[/tf] -> http://10.42.0.1:37656/
[rosmaster.master][INFO] 2017-03-09 10:24:53,273: +PUB [/mavlink/from] /mavros http://10.42.0.1:37656/
[rosmaster.master][INFO] 2017-03-09 10:24:53,314: +SUB [/mavlink/to] /mavros http://10.42.0.1:37656/
[rosmaster.master][INFO] 2017-03-09 10:24:53,418: +PUB [/tf_static] /camera/camera_nodelet_manager http://10.42.0.1:45399/
[rosmaster.master][INFO] 2017-03-09 10:24:53,470: publisherUpdate[/tf_static] -> http://10.42.0.1:37656/
